"","Binomial.1.2","Mass.g","Mass.Reference","Mass.g.PHYLACINE","Mass.Method.PHYLACINE","Mass.Source.PHYLACINE","Mass.Comparison.PHYLACINE","Mass.Comparison.Source.PHYLACINE"
"49","Bubalus_depressicornis",3e+05,"Faurby et al. 2018 Ecology; Rozzi 2017 Quaternary Science Reviews",88000,"Reported","Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA
"50","Bubalus_grovesi",313443,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",117000,"Reported","Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA
"51","Bubalus_mindorensis",233333.3,"Faurby et al. 2018 Ecology; Rozzi 2017 Quaternary Science Reviews",224000,"Reported","Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA
"53","Bubalus_quarlesi",150000,"Faurby et al. 2018 Ecology; Rozzi 2017 Quaternary Science Reviews",76000,"Reported","Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA
"84","CapriniGen_spA",61064.4,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",63270.3,"Imputed","PHYLACINE 1.2.1",NA,NA
"89","Catagonus_stenocephalus",34732.4,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",34881.9,"Imputed","PHYLACINE 1.2.1",NA,NA
"126","Damaliscus_niro",97612.7,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",150000,"Reported","Bibi, F., et al. 2015. Continuous evolutionary change in Plio-Pleistocene mammals of eastern Africa. Proceedings of the National Academy of Sciences 112:10623-10628.",NA,NA
"146","Elephas_antiquus",6500000,"Faurby et al. 2018 Ecology; MacPhee and Sues 1999 Springer Books",1.3e+07,"Reported","Larramendi, A. 2016. Shoulder height, body mass, and shape of proboscideans. Acta Palaeontologica Polonica 61:537-574.",NA,NA
"147","Elephas_cypriotes",130000,"Faurby et al. 2018 Ecology; Davies and Lister 2001 The World of Elephants International Congress (Relative size change is taken from this abstract, but the size of Elephas antiquus which it is compared with is taken from elsewhere)",2e+05,"Reported","Davies, P. et al. 2001. Palaeoloxodon cypriotes, the dwarf elephant of Cyprus: size and scaling comparisons with P. falconeri (Sicily-Malta) and mainland P. antiquus. Pages 479-480 in G. Cavarretta, et al., editors. The World of Elephants. Rome.",NA,NA
"149","Elephas_maximus",2915040,"Faurby et al. 2018 Ecology; Wilson and Mittermeier 2011 Handbook of the Mammals of the World",3160000,"Reported","Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA
"154","Equus_africanus",250000,"Faurby et al. 2018 Ecology; Nowak 1999 Walkers Mammals of the World",275000,"Reported","Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA
"156","Equus_ferus",250000,"Faurby et al. 2018 Ecology; Smith et al. 2003 Ecology",2e+05,"Reported","Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA
"183","Gazella_tingitana",24874.7,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",24877.1,"Imputed","PHYLACINE 1.2.1",NA,NA
"193","Haploidoceros_mediterraneus",78798.2,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",1e+05,"Reported","Croitor, R., et al. 2008. Systematic revision of the endemic deer Haploidoceros n. gen. mediterraneus (Bonifay, 1967) (Mammalia, Cervidae) from the Middle Pleistocene of southern France. Palaontologische Zeitschrift 82:325-346.",NA,NA
"228","Kolpochoerus_majus",127440.4,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",264541.8,"Estimated based on average of equations from lower premolar row length and lower molar length","Souron, A., et al. 2015. A new species of Kolpochoerus from Ethiopia. Acta Palaeontologica Polonica 60:79-96.",NA,"Damuth, J. D., et al., editors. 1990. Body Size in Mammalian Paleobiology. Cambridge University Press, Cambridge."
"234","Loxodonta_africana",3940034.3,"Faurby et al. 2018 Ecology; Wilson and Mittermeier 2011 Handbook of the Mammals of the World",4400000,"Reported","Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA
"254","Mammut_americanum",4523800,"Faurby et al. 2018 Ecology; Smith et al. 2003 Ecology",8e+06,"Reported","Larramendi, A. 2016. Shoulder height, body mass, and shape of proboscideans. Acta Palaeontologica Polonica 61:537-574.",NA,NA
"255","Mammuthus_columbi",8e+06,"Faurby et al. 2018 Ecology; Smith et al. 2003 Ecology",9500000,"Reported","Larramendi, A. 2016. Shoulder height, body mass, and shape of proboscideans. Acta Palaeontologica Polonica 61:537-574.",NA,NA
"257","Mammuthus_primigenius",5500000,"Faurby et al. 2018 Ecology; Smith et al. 2003 Ecology",6e+06,"Reported","Larramendi, A. 2016. Shoulder height, body mass, and shape of proboscideans. Acta Palaeontologica Polonica 61:537-574.",NA,NA
"280","Megalovis_guangxiensis",70060.2,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",76225.5,"Imputed","PHYLACINE 1.2.1",NA,NA
"300","Muntiacus_montanus",17535.3,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",17619.8,"Imputed","PHYLACINE 1.2.1",NA,NA
"306","Muntiacus_vaginalis",18088.3,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",18218,"Imputed","PHYLACINE 1.2.1",NA,NA
"318","Navahoceros_fricki",49318.1,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",49522.2,"Imputed","PHYLACINE 1.2.1",NA,NA
"328","Notiomastodon_platensis",7580000,"Faurby et al. 2018 Ecology; Smith et al. 2003 Ecology",5500000,"Reported","Larramendi, A. 2016. Shoulder height, body mass, and shape of proboscideans. Acta Palaeontologica Polonica 61:537-574.",NA,NA
"381","Piliocolobus_bouvieri",10334.2,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",10334.8,"Imputed","PHYLACINE 1.2.1",NA,NA
"443","Sinomegaceros_ordosianus",339625,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",339625.3,"Imputed","PHYLACINE 1.2.1",NA,NA
"445","Sivacobus_sankaliai",54918.8,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",78500.1,"As relative of suggested similar size","Vrba, E. S., et al. 2015. First Asian record of a late Pleistocene reduncine (Artiodactyla, Bovidae, Reduncini), Sivacobus sankaliai, sp. nov., from Gopnath (Miliolite Formation) Gujarat, India, and a revision of the Asian genus Sivacobus Pilgrim, 1939. Journal of Vertebrate Paleontology 35:e943399.","Kobus_kob","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author)."
"446","Soergelia_minor",73378.2,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",225000,"Reported","Palmqvist, P., et al. 2003. Paleoecological reconstruction of a lower Pleistocene large mammal community using biogeochemical (δ13C, δ15N, δ18O, Sr:Zn) and ecomorphological approaches. Paleobiology 29:205-229.",NA,NA
"497","Trigonodops_lopesi",895899.9,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",2294926.7,"Estimated based on average of equations from lower premolar 4, molar 1, and molar 2 area","Mendonça, R. 2007. Revisão dos toxodontes pleistocênicos brasileiros e considerações sobre Trigodonops lopesi (Roxo, 1921) (Notoungulata, Toxodontidae). University of São Paulo.",NA,"Damuth, J. D., et al., editors. 1990. Body Size in Mammalian Paleobiology. Cambridge University Press, Cambridge."
"509","Warendja_wakefieldi",60985.3,"Faurby et al. 2018 Ecology; Faurby et al. 2018 Ecology",10000,"Reported","Johnson, C. N., et al. 2004. Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: no evidence for environmental change as cause of extinction. Austral Ecology 29:553-557.",NA,NA
